Слово,Текст,Оценка
срочно,— И она засмеялась,0
гора,"""Подняться вверх"" - значит, подняться в горы",0
происходить,Отдарите его для улучшения результатов,0
уже,"Мы просто будем предлагать вам попробовать его, если вы согласитесь",0
кинотеатр,"Оно будет состоять из трех слов: киноаппарат, телематический Придумайте предложение, в котором будет слово ""кинотеатр""",1
молодой,"Что это за фильм? Придумайте предложение, в котором будет слово ""молодой""",1
белорусский,"В слове ""белорусская"" пропущены все без исключения русские слова: Придумайте предложение, в котором будет слово ""белорусский""",1
экран,"А в предложении будет слово ""диск"", ""поле"" или "" Придумайте предложение, в котором будет слово ""экран""",1
сад,"А если у меня будут другие предложения, тоже какие нибудь предложения? Придумайте предложение, в котором будет слово ""сад""",1
разведенный,"Слегка заумная строчка, и я начну с нуля",0
Испания,"Я считаю, что слово это очень удачное",0
гардероб,"Придумайте, сколько у вас будет предметов одежды, какие предметы следует приобрести Придумайте предложение, в котором будет слово ""гардероб""",1
подпись,- Так,0
шлем,По идее мы должны придумать именно такое предложение,0
рис,Рис,1
корабль,"Все ваши слова, конечно, связаны с этим судном – не просто суд Придумайте предложение, в котором будет слово ""корабль""",1
цапля,"А как вы с этим словом думаете? Придумайте предложение, в котором будет слово ""цапля""",1
сливки,"Отчасти я даже пытался его нарисовать на этой теме http://www.flick Придумайте предложение, в котором будет слово ""сливки""",1
днем,"Это и есть день, в который вы празднуете свой день рождения",0
библиотека,"У каждого из нас есть ""свои библиотекари"", которые знают о содержании Придумайте предложение, в котором будет слово ""библиотека""",1
взрослый,"В нём есть слова: ""Пожалуй, я не смогу, но надеюсь Придумайте предложение, в котором будет слово ""взрослый""",1
бедро,"Ну и где у него место?"" Придумайте предложение, в котором будет слово ""бедро""",1
сумочка,"Это может быть слово ""карман""",0
свет,"Должен быть ""свет"" - именно во время, когда его включают",1
аллергия,"В таком случае это будет ""герб"": ""Аллергия - аллер Придумайте предложение, в котором будет слово ""аллергия""",1
бедный,И пусть оно будет из названия страны,0
маршрут,"незнаю Придумайте предложение, в котором будет слово ""маршрут""",1
надевать,"Это, по-моему, одно из самых удачных предложений",0
тумба,"Это для того, чтобы оно обозначало место, на котором может находиться человек в этот Придумайте предложение, в котором будет слово ""тумба""",1
пожилой,"— Обижаете, — улыбнулся он. — Придумайте предложение, в котором будет слово ""пожилой""",1
жаркий,"- О! – выдохнула я, – Да-ага, я слышала об Придумайте предложение, в котором будет слово ""жаркий""",1
отец,"Если есть возможность, напишите",0
цирк,"И впишите его в предложенную форму: Придумайте предложение, в котором будет слово ""цирк""",1
линейка,Рис. 27,0
кабачок,"Я с удовольствием буду рассказывать вам об этих овощах, которые можно есть с любыми Придумайте предложение, в котором будет слово ""кабачок""",1
дедушка,"Как вы можете узнать почему? Придумайте предложение, в котором будет слово ""дедушка""",1
приз,"Не думайте, что это будет игра на публику",0
небоскрёб,"В этом случае у вас появится возможность построить башню из песка, камней Придумайте предложение, в котором будет слово ""небоскрёб""",1
молодец,Вроде бы всё по русски понятно..,0
пятница,"Какова роль денег в творчестве современного российского писателя? Придумайте предложение, в котором будет слово ""пятница""",1
чувствовать,"Я бы ответила - не чувствовать! Придумайте предложение, в котором будет слово ""чувствовать""",1
рука,"напишите текст, в котором это слово не используется Придумайте предложение, в котором будет слово ""рука""",1
аккуратно,Неприятный сюрприз для наших клиентов,0
народ,"Слово ""народ"", в моем случае ""народ России"" будет употребляться, если это Придумайте предложение, в котором будет слово ""народ""",1
немка,"Напишите, что у ""немки"" (от ""немка"" - Придумайте предложение, в котором будет слово ""немка""",1
наслаждаться,"То есть ""быть довольным""",0
ластик,"Если оно есть, и не имеет в виду, что это ""мягкое ( Придумайте предложение, в котором будет слово ""ластик""",1
оболочка,"Например: Придумайте предложение, в котором будет слово ""оболочка""",1
мимо,"Оно будет ""лишь бы мимо""!""  Тогда вопрос становится ""мног Придумайте предложение, в котором будет слово ""мимо""",1
кокос,"Это может быть ""кокилоз""",0
банкомат,Относитесь к нему соответственно,0
полосатый,"В русской речи слово ""постановка"" встречается в слове ""место""",0
некоторые,"Например, ""вроде бы в семье всё наладится, но я не Придумайте предложение, в котором будет слово ""некоторые""",1
шампанское,"В тексте желательно прописать слово ""шампанское""",1
спрашивать,"спрашивать: почему мне это надо -- отвечать на вопросы, Придумайте предложение, в котором будет слово ""спрашивать""",1
десятка,"В.Л.Толстой Придумайте предложение, в котором будет слово ""десятка""",1
Англия,"Что там может быть русского?  Что это за страна?  Что за русский Придумайте предложение, в котором будет слово ""Англия""",1
поиск,"Когда напишут заявление в детский сад? Придумайте предложение, в котором будет слово ""поиск""",1
животное,"Для создания животного, обитающего в зоопарке или квартире – название вашего предложения должно Придумайте предложение, в котором будет слово ""животное""",1
обезьяна,"""Прощай, обезьяна"" и ""богатырь"" – Придумайте предложение, в котором будет слово ""обезьяна""",1
площадь,"Найдите площадь, в которой будет стоять слово ""площадь"", а затем ука Придумайте предложение, в котором будет слово ""площадь""",1
бодро,"Вот, что пишут студенты на английском языке: ""Добро пожаловать в школу бод Придумайте предложение, в котором будет слово ""бодро""",1
изнутри,Ключевое слово: внутри,0
дерево,Это слово тоже можно будет использовать,0
сентябрь,"К примеру, в ""Октябре"" в ""Пожарке"" все Придумайте предложение, в котором будет слово ""сентябрь""",1
четверг,"Я думаю, что не так уж и важно, как слово ""четверг"", "" Придумайте предложение, в котором будет слово ""четверг""",1
азбука,"У меня есть один приятель -- литературовед и человек чрезвычайно талантливый, он мне Придумайте предложение, в котором будет слово ""азбука""",1
любимый,"Это могут быть названия каких-то популярных сайтов, сериалов или сайтов, где Придумайте предложение, в котором будет слово ""любимый""",1
семья,"И еще один момент: не ""семья"", а семья называется только тогда, Придумайте предложение, в котором будет слово ""семья""",1
любопытно,"""Второе образование – это способ понять",0
ноль,"Например, ""Ноль это число, это два месяца""",1
близко,"В котором можно будет сказать что-нибудь, что будет ассоциировано с вами",0
дешевый,"Это ведь не только в случае продажи, когда вы продаетесь на рынке недвижимости Придумайте предложение, в котором будет слово ""дешевый""",1
трамвай,-- А что Вы придумали -- удивилась Елена,0
впереди,"О чём говорят наши соседи? Придумайте предложение, в котором будет слово ""впереди""",1
чайный,"Оно может быть как ""чайными"", так и ""чайными столовыми""",0
бассейн,"Если бы вы жили на ""бассейн"", то придумали бы не слово ""прип Придумайте предложение, в котором будет слово ""бассейн""",1
леопард,"Все это — надуманный миф, и если бы у вас был такой Придумайте предложение, в котором будет слово ""леопард""",1
земля,"Подразумевается ""земля – это наш дом, наш дом, наша крепость Придумайте предложение, в котором будет слово ""земля""",1
этаж,"Но как именно вы хотите его использовать?  Это же не шутка, не шутка! Придумайте предложение, в котором будет слово ""этаж""",1
пожилой,"Это как ""пожилой"" называется? Придумайте предложение, в котором будет слово ""пожилой""",1
семья,"В конце рассказа о семье Гузель (из воспоминаний дочери) было сказано: "" Придумайте предложение, в котором будет слово ""семья""",1
неделя,"Профессиональный макияж в подарок Придумайте предложение, в котором будет слово ""неделя""",1
можно,"Нет, нельзя",0
муха,"это надо делать так, как ты сказал - ""ту-ху"" - "" Придумайте предложение, в котором будет слово ""муха""",1
поздно,"Несправедливо, потому что поздно",1
воздух,- Я подумаю,0
далее,"Если это выражение не относится к делу, то ""далее""",1
баскетбол,"В этом случае вы получите игру с мячом и вас можно ловить руками и ногами Придумайте предложение, в котором будет слово ""баскетбол""",1
лавка,Сформулируйте свое предложение,0
японский,Флагманский,0
щипцы,"И, конечно же, постарайтесь не делать поспешных выводов, это в полной мере Придумайте предложение, в котором будет слово ""щипцы""",1
победитель,"Глава 3 Придумайте предложение, в котором будет слово ""победитель""",1
цветок,"-- Вот так я и подумал, -- буркнул он в раздумье",0
Латвия,"Я не хочу, чтоб вас там не было",0
растение,"Так как растение – это тоже что-то, что и человек",1
внутри,"Она будет ""внутри""",1
недорого,"Напишите на бланке заказа, какую сумму Вы хотите сэкономить?  Тогда звоните Придумайте предложение, в котором будет слово ""недорого""",1
скорая,Мы знаем все о скорой помощи,0
календарь,"Он должен быть коротким и состоять преимущественно из коротких строк (пример: "" Придумайте предложение, в котором будет слово ""календарь""",1
расписание,"Сказано: Придумайте предложение, в котором будет слово ""расписание""",1
назад,"""Назад"" Придумайте предложение, в котором будет слово ""назад""",1
нужный,"Как правильно расчитать количество единиц измерения? Придумайте предложение, в котором будет слово ""нужный""",1
бегемот,В переводе с араб,0
потратить,"Среда, 13 января Придумайте предложение, в котором будет слово ""потратить""",1
темный,"Темная сторона Луны, как только вы поймете значение темного, ваше подсознание захочет Придумайте предложение, в котором будет слово ""темный""",1
бриться,- Не знаю,0
выбрать,4,0
барсук,"Как правильно пишется слово барсук Придумайте предложение, в котором будет слово ""барсук""",1
ранее,"И вы сами поймете, как с ним связывать свое будущее",0
сын,"В детстве, в школе и в институте я играла в футбол, но в 12 Придумайте предложение, в котором будет слово ""сын""",1
тесно,"Направление и объем: нарисуйте прямоугольник, в конце каждого из него Придумайте предложение, в котором будет слово ""тесно""",1
модель,"Нарисуйте эскиз, в котором в результате будет представлен ваш прототип",0
оранжевый,"Заметили ошибку: мы сегодня говорили про оранжевый цвет? Придумайте предложение, в котором будет слово ""оранжевый""",1
лицо,"Придумайте несколько идей, в которых можно было бы раскрыть суть такого предложения",0
гранат,"10322262	lakshatka-mash Придумайте предложение, в котором будет слово ""гранат""",1
штука,Придумайте фразу с названием этой фразы,0
крест,"Глава 25 Придумайте предложение, в котором будет слово ""крест""",1
подоконник,"Если вы это понимаете, тогда можно сделать следующий вывод: если ваша квартира была приобрет Придумайте предложение, в котором будет слово ""подоконник""",1
плавать,"Может быть, вы будете обращаться к нам за помощью",0
чашка,"В результате чего у вас получится составить диалог -- на вашем предложении будет многото Придумайте предложение, в котором будет слово ""чашка""",1
третий,"— А зачем он нужен? Придумайте предложение, в котором будет слово ""третий""",1
движение,"- Какое Придумайте предложение, в котором будет слово ""движение""",1
ключ,"И мы предложим, какая версия ""ключа"" вам ближе",1
зоопарк,"Как вы это себе представляете? Придумайте предложение, в котором будет слово ""зоопарк""",1
полно,"А ещё лучше, сделайте предложение: ""Прими участие в конкурсе ""Одесса Придумайте предложение, в котором будет слово ""полно""",1
лампа,"А потом пишите варианты предложений, которые бы понравились и самому Вам",0
спокойно,"Не могу понять, неужели вы думаете, что это просто слова? Придумайте предложение, в котором будет слово ""спокойно""",1
люди,Скач,0
волейбол,"Смотря на человека, который играет в волейбол, не возникает ощущения, Придумайте предложение, в котором будет слово ""волейбол""",1
толкать,Подобно: «Нерусские дети»,0
ванная,"Если его не поняли - не надо придумывать, что это означает",0
естественно,"Напишите в комментариях к этому посту: Придумайте предложение, в котором будет слово ""естественно""",1
помидор,"Вы же в курсе, что помидоры бывают разные?  В моем родном городе Придумайте предложение, в котором будет слово ""помидор""",1
остановиться,"Напишите, в чем оно заключается, и как его найти",0
куртка,"Почему мужчина все время смотрит в сторону и смотрит так, а не как другие Придумайте предложение, в котором будет слово ""куртка""",1
ещё,"Например :"", ""наша работа в том, что мы работаем по-человечески Придумайте предложение, в котором будет слово ""ещё""",1
жилет,"Примеры предложений, которыми я пользовался при выборе брюк): 1",0
осень,"- Осень - это какое? - Как это? Придумайте предложение, в котором будет слово ""осень""",1
зваться,"И я, по-вашему мнению, назову ее – ""незанима Придумайте предложение, в котором будет слово ""зваться""",1
написать,"Когда солнце встает, оно приходит к нам, Придумайте предложение, в котором будет слово ""написать""",1
помогать,"Например: ""Я помогаю людям (срочно!)""",0
сегодня,"&nbsp;&nbsp;- Сегодня я уже не могу писать!&nbsp;&nbsp Придумайте предложение, в котором будет слово ""сегодня""",1
некрасивый,"Как стать красивой, привлекательной? Придумайте предложение, в котором будет слово ""некрасивый""",1
алфавит,"8262190	svberdsk	2013 Придумайте предложение, в котором будет слово ""алфавит""",1
среда,"Так вы поймете, что среда ""непреодолимая среда""",1
пальма,"12815226	krylov	2013- Придумайте предложение, в котором будет слово ""пальма""",1
пожар,"Пожары, как я уже говорила, бывают разными",1
тянуть,"Так можно сказать, что мы с друзьями пошли вместе на концерт",0
бумага,"Напишите текст, в котором будет слово ""Бумага""",1
баскетбол,Помогите выбрать фотоаппарат,0
подпись,"Если вы можете это сделать, укажите ваше имя (имя) и почтовый Придумайте предложение, в котором будет слово ""подпись""",1
Египет,"Что это - в нашем понимании Негеографическое или другое место Почему оно Придумайте предложение, в котором будет слово ""Египет""",1
иметь,"Напишите ваше имя и фамилию и укажите, на какой стадии развития находитесь",0
шторм,С этими словами он исчезнет,0
оставить,"Если оно есть, то оно будет означать именно то, что вы оставляете в себе Придумайте предложение, в котором будет слово ""оставить""",1
игра,Я тут в этом году..,0
пожарный,"Вы, как я поняла, хотите сказать, что на предприятии с нарушением правил эксплуатации Придумайте предложение, в котором будет слово ""пожарный""",1
чувствовать,"Есть три разных способа: Придумайте предложение, в котором будет слово ""чувствовать""",1
пожилой,"31462713	filibuster Придумайте предложение, в котором будет слово ""пожилой""",1
доллар,"И на этой версии ""Доллар"" будет полностью заменен на ""русские Придумайте предложение, в котором будет слово ""доллар""",1
собака,Верно,0
молоко,"Я не знаю, но в данном случае вы должны это произнести: МЯСО Придумайте предложение, в котором будет слово ""молоко""",1
интересно,"Вы пишите, какая тема, в каком жанре, и т.д",0
бобёр,"Вы не можете сказать, что Бобёр — это бобёр или что он Придумайте предложение, в котором будет слово ""бобёр""",1
туман,"""Туфли на каблучках""..",0
быть,Тогда будете знать: хорошо быть - плохо,1
оставить,"""Которое было -- не оставит Вас в покое"" -- ответил кто- Придумайте предложение, в котором будет слово ""оставить""",1
гостиная,3,0
спортивный,"В случае выступления, конечно, будут выступать все",0
кетчуп,"И на вопрос ""В чем смысл этого слова?"" можно ответить одно: "" Придумайте предложение, в котором будет слово ""кетчуп""",1
пилот,У вас была машина,0
готовить,"Все чаще меня спрашивают, нужно ли мне есть варёную селёдку или Придумайте предложение, в котором будет слово ""готовить""",1
щека,"– Что такое ""щека""? Придумайте предложение, в котором будет слово ""щека""",1
утро,"Вы, вероятно, не видели, но в книге С.Я",0
ловить,"– Пожалуйста! Придумайте предложение, в котором будет слово ""ловить""",1
адрес,"Этот адрес должен быть отмечен синим, как код ссылки на это предложение и начинаться Придумайте предложение, в котором будет слово ""адрес""",1
другой,"37534121	dorothysh	2016-07 Придумайте предложение, в котором будет слово ""другой""",1
спина,"В последнее время очень много людей стало обращать внимание на различные ""подвижные Придумайте предложение, в котором будет слово ""спина""",1
холодно,"Например: ""Отечество — это тепло""",0
национальность,"И в который раз подумаете, как можно сказать ""своя"" ""родина Придумайте предложение, в котором будет слово ""национальность""",1
макароны,"И даже, если этот продукт будет не с хлебом, а с кек Придумайте предложение, в котором будет слово ""макароны""",1
немец,"28189246	ljusifer	2014-11 Придумайте предложение, в котором будет слово ""немец""",1
идеально,Идеально — это то что вы хотите видеть,1
уметь,"В результате, мы учтем все ошибки, ошибки и ошибки автора, с которым Придумайте предложение, в котором будет слово ""уметь""",1
пустыня,"Выскажите своё предложение словами с ""пустынным"" значением: Придумайте предложение, в котором будет слово ""пустыня""",1
семья,"Если родители знают, что ребенок не сможет найти общий язык, что не смогут общаться Придумайте предложение, в котором будет слово ""семья""",1
позвонить,"И я добавлю еще один пункт: ""Я понимаю, что это не совсем Придумайте предложение, в котором будет слово ""позвонить""",1
внук,"У вас может быть масса возможностей! Придумайте предложение, в котором будет слово ""внук""",1
поезд,"Или ""я за тобой""",0
только,"- Это невозможно, - сказал Шехерезад",0
известно,"О том, что произошло, на самом деле – это довольно распространенное",0
хобби,"И не просто предлог, а именно предложение, в котором будут присутствовать слова Придумайте предложение, в котором будет слово ""хобби""",1
думать,"- Что вы хотите этим сказать? Придумайте предложение, в котором будет слово ""думать""",1
сильный,"Можно ли сказать, что сильный - это сильный",1
ЮАР,"В то время, когда это слово будет означать что то среднее между ""ЮАР"" Придумайте предложение, в котором будет слово ""ЮАР""",1
уродливый,"Что вы можете посоветовать по такому поводу в данной ситуации?  Что вы Придумайте предложение, в котором будет слово ""уродливый""",1
подушка,"""Подушка"" - что с ней?  Почему эта мебель такая Придумайте предложение, в котором будет слово ""подушка""",1
рука,"- А почему это обязательно должно быть русское слово ""рука"" Или вы хотите Придумайте предложение, в котором будет слово ""рука""",1
лицо,У слова лицо есть имя,1
некоторые,"А вот еще: ""Я не очень понимаю смысл этого слова",0
цена,"Например, ""цена товара ниже цен на рынке, выше цены конкурентов""",1
дыня,"В таком случае получится не просто слово, а словосочетание, с которым будет слово Придумайте предложение, в котором будет слово ""дыня""",1
шуметь,"Укажите, как часто можно будет шуметь, например, перед выходом в школу",1
ферма,- Это..,0
явно,"Я тоже с этим столкнулся впервые (у меня, например, так много разных предложений) Придумайте предложение, в котором будет слово ""явно""",1
кашель,"15173776	melena1001	2011-12 Придумайте предложение, в котором будет слово ""кашель""",1
точно,"Напишите слово ""правильно"" с использованием гласных в составе этих букв",0
умирать,"Но в нашем случае это будет слово ""поближе"", а не ""у Придумайте предложение, в котором будет слово ""умирать""",1
билет,"Если есть билеты, а у Вас нет (билет), то не стоит Придумайте предложение, в котором будет слово ""билет""",1
маленький,"Да это не вопрос, это слово",0
срочно,В качестве варианта этого предложения я выбрал (см,0
глупый,"И начинайте, со ""глупого""",0
ракета,"Это слово обозначает космический корабль: Придумайте предложение, в котором будет слово ""ракета""",1
стол,"И скажите, что, поскольку стол не ставится рядом и имеет один выход, а вы Придумайте предложение, в котором будет слово ""стол""",1
округ,"Взяли в банке кредиты, не знаю куда девать, сколько Придумайте предложение, в котором будет слово ""округ""",1
подниматься,"Например: ""Я готов подняться на поверхность или на поверхность, чтобы убедиться в Придумайте предложение, в котором будет слово ""подниматься""",1
старый,"Вы пишете, когда в семье все хорошо",0
азбука,"Например, ""Стихотворение"", ""Поэтическая композиция"", ""Му Придумайте предложение, в котором будет слово ""азбука""",1
менее,1,0
мозг,"И тогда можно будет получить ответы на вопросы, даже через миллионы лет",0
строго,"Я сейчас же сделаю список слов, которое я должна будет написать",0
госпожа,"Но это будет не ""госпожа""",1
хотеть,"Вы не сможете его забыть, разве что когда он приедет с работы и вас попросят Придумайте предложение, в котором будет слово ""хотеть""",1
английский,"Или заменим на ""французский"", например ""французский""",0
негромко,Крайний слева,0
соль,"Поэтому здесь мы используем только то, к чему привыкли в обычной жизни, и что всегда Придумайте предложение, в котором будет слово ""соль""",1
пчела,"В общем, что-то типа ""Пчела – это пчела Придумайте предложение, в котором будет слово ""пчела""",1
отдыхать,"Вот он, ""одиноким взглядом""",0
войти,"Да, я согласна со всем этим, но я хочу посмотреть на людей, которые там Придумайте предложение, в котором будет слово ""войти""",1
откровенно,"Вы хотите написать ""мне плохо"" - вот такая ошибка",0
шептать,"&nbsp;А потом представьте его в роли ""мастера""",0
Норвегия,"Норвегия это скандинавский край, название страны не помню",1
отличный,"Как вам удается избегать таких слов? Составьте предложение, используя слово ""отличный""",1
рассказывать,"Каким он стал после того, как умер его старший брат? Составьте предложение, используя слово ""рассказывать""",1
ярко,"Именительную и винительную группы Составьте предложение, используя слово ""ярко""",1
дедушка,"Например, ""Дедушка"" - дедушкин подарок",1
флаг,"Прилагательное с большим окончанием Составьте предложение, используя слово ""флаг""",1
анкета,"Написанное по мотивам книги (книги).Напишите фразу о том, что у Составьте предложение, используя слово ""анкета""",1
фамилия,"Составьте слово ""автор""",0
зло,"Какое лицо и в каких количествах было уничтожено с его помощью в прошлом? Составьте предложение, используя слово ""зло""",1
слышно,"- Я люблю музыку, - сказала Маша",0
хомяк,"Сочетание ""хомяк"" должно сочетать в себе и то, и Составьте предложение, используя слово ""хомяк""",1
дважды,"Перечисляйте примеры, которые вы встретите в предложении ""дважды"")",1
Литва,"Из этого можно сделать вывод, что вы – типичный союзник России, в состав которой Составьте предложение, используя слово ""Литва""",1
популярный,""" в первом предложении в первом предложениях",0
замок,"Напишите слово, используя сочетание звуков ""замок""",1
трактор,"В нем слово ""трактор"", имеет значение трактора",1
жаркий,"На какой минуте надо зажечь спичку?  Если вы правильно угадали время, ответ Составьте предложение, используя слово ""жаркий""",1
уметь,"Если он не понимает, то дайте ему подсказку""",0
класть,"По существу, ""кладка"" и ""плитка"" относятся к трем частям речи: Составьте предложение, используя слово ""класть""",1
левый,"Если предложение простое, опишите его как можно быстрее и максимально приближенную к целевой аудитории",0
твердый,В соответствии со ст,0
мука,"Примеры предложении: Составьте предложение, используя слово ""мука""",1
потерять,"Предложите варианты вариантов: Составьте предложение, используя слово ""потерять""",1
сандалии,"Итого: 10% Составьте предложение, используя слово ""сандалии""",1
бок,Поле для игры,0
ярко,2.) Назовите основные характеристики современного рынка товаров и услуг,0
февраль,"Я использую слово ""февраль""",1
овощ,"Заболели? Составьте предложение, используя слово ""овощ""",1
леопард,"При желании выполните пробный текст предложения и убедитесь, что ""леопард Составьте предложение, используя слово ""леопард""",1
ребята,"Ссылка на страницу &gt;&gt;&gt; Составьте предложение, используя слово ""ребята""",1
улучшить,"Если нет – поставьте ""сделай сам "" и сравните с предложением, Составьте предложение, используя слово ""улучшить""",1
экономить,"Я не вижу смысла в том, чтобы покупать на базаре в России всё что вы хотите Составьте предложение, используя слово ""экономить""",1
колбаса,"Можно дать задание: написать ""моченая"", ""моченая""",0
юный,"Составьте предложения, используя слово ""молодо""",0
влево,"Найдите в нём глагол, существующий при частичном глагольной форме",0
иностранец,Изложите суть вашего исследования,0
слабо,"Например: ""Кожа -- мягкий ткани""",0
лошадь,"По тексту: ""Лошади из книги ""Улитка на склоне"" ("" Составьте предложение, используя слово ""лошадь""",1
внимание,"Остановитесь! Не задерживайтесь! Составьте предложение, используя слово ""внимание""",1
угол,"Пусть, например, это ""поворот""",0
стол,"В данном случае под ним подразумевалось столовое, хотя его употребительно в том же значении, Составьте предложение, используя слово ""стол""",1
довольный,"""Я бы сейчас, как говорится ""без вопросов"" с удовольствием ""пошли детей Составьте предложение, используя слово ""довольный""",1
лето,Срочно!..,0
играть,"13885886	kkudesnik	2013-04-20 Составьте предложение, используя слово ""играть""",1
стул,"Введите текст ответа, например :-В, 2Б, 3В)Скажите число Составьте предложение, используя слово ""стул""",1
спокойно,"У тебя есть чувство юмора? Составьте предложение, используя слово ""спокойно""",1
Нидерланды,Доказательство: Германия -- одна из мировых держав,0
войти,"Глава 7 Составьте предложение, используя слово ""войти""",1
думать,"В предложении может быть не только слово ""думать"", а слово ""думать""",1
только,"Укажите ее в скобках, в предложениях: 1 1 2..",0
подарок,"Статья: ""Подарок – подарок""",1
олень,"Например: ""В середине ноября я проснулся в полном одиночестве",0
